"Caso","F. De Reclamo","Direccion","Comuna","OT","Proveedor Asignado","Estado","Observaciones","Attachments","Tipo de tarea","Equipo","Tipo de Elemento"
"5940","5/29/2025","SANCHEZ DE LORIA 1406","5","807044148","PEBCOM","Pendiente","Columna con base corroída","1","Cambio","Sin equipos","Terminal"
"5938","5/29/2025","DE LOS CONSTITUYENTES AV. 5615","12","807044154","Optical Power","Pendiente","Columna con base corroída","1","Cambio","Sin equipos","Pasante"
"5944","5/29/2025","GARCIA, PEDRO A.,CNEL. 5887","8","807044186","Optical Power","Pendiente","Columna con base corroída","1","Cambio","Sin equipos","Pasante"
"807044192","5/29/2025","O'Higgins 4379","13","807044192","NEW","Pendiente","Poste ","1","Desmonte","Sin equipos","Poste"
"807044200","5/29/2025","11 de Septiembre de 1888 4662","13","807044200","Sin Asignar","Pendiente","Aplomar","1","Aplomo","Sin equipos","Terminal"
"807044207","5/29/2025","Moldes 4601","13","807044207","Sin Asignar","Pendiente","Aplomar","1","Aplomo","Sin equipos","Pasante"
"807044212","5/28/2025","Av. Cabildo 4900","12","807044212","Sin Asignar","Pendiente","Aplomar","1","Aplomo","Sin equipos","Pasante"
"807044216","5/29/2025","Del Barco Centenera 894","7","807044216","Sin Asignar","Pendiente","Aplomar","1","Aplomo","Sin equipos","Terminal"
"807044223","5/22/2025","Cucha Cucha 2918","7","807044223","Sin Asignar","Pendiente","Aplomar","1","Aplomo","Sin equipos","Pasante"
"807044233","5/29/2025","Martin Grandoli 5761","8","807044233","Sin Asignar","Pendiente","Cambiar o desmontar columna aparentemente en desuso","1","Cambio","Sin equipos","Pasante"
"807044260","5/29/2025","Jorge Luis Borges 2493","14","807044260","Sin Asignar","Pendiente","Aplomar","1","Aplomo","Sin equipos","Terminal"
"807044286","5/29/2025","Echeandía 5779","8","807044286","Sin Asignar","Pendiente","Picada","1","Cambio","Sin equipos","Pasante"
"-450","5/29/2025","Moldes 2325","14","807044059","AYKO","Pendiente","Corroida en base para cambiar contiene CDO/NAP propio ","1","Cambio","Sin equipos","Pasante"
"-451","5/29/2025","Uriarte 2426","14","807044071","Optical Power","Pendiente","Colocar columna para pedir traspaso de nodo teco","1","Cambio","Nodo Teco","Pasante"
"5947","6/2/2025","CAFAYATE 5007","8","807129336","Optical Power","Pendiente","Columna inclinada Columna con base corroída oxidada","1","Cambio","Sin equipos","Pasante"
"5948","6/2/2025","MURGUIONDO 3990","8","807129347","Optical Power","Pendiente","COLUMNA INCLINADA","1","Cambio","Sin equipos","Terminal"
"5954","6/2/2025","YAPEYU 938","5","807129372","Optical Power","Pendiente","Columna Picada, tambien resolver cables panseados y cortados reclaman ambas cosas","1","Cambio","Sin equipos","Pasante"
"-460","6/3/2025","TUCUMAN 2060","3","807150552","PEBCOM","Pendiente","columna podrida","1","Cambio","Sin equipos","Pasante"
"-461","6/3/2025","Independencia 2796","3","807150726","PEBCOM","Pendiente","Picada","1","Cambio","Sin equipos","Pasante"
"-462","6/3/2025","Juan Francisco Segui 4507","14","807150729","PEBCOM","Pendiente","Columna propia corroida","1","Cambio","Sin equipos","Pasante"
"5973","6/4/2025","PALOS 432","4","807168105","Optical Power","Pendiente","Columna inclinada","1","Cambio","Sin equipos","Pasante"
"3715","6/4/2025","EL SERENO 358","10","807168098","Optical Power","Pendiente","Poste inclinado","1","Aplomo","Sin equipos","Poste"
"-467","6/4/2025","General Enrique Martinez 188","13","807168186","PEBCOM","Pendiente","Picada","1","Cambio","Sin equipos","Pasante"
"-469","6/4/2025","Newbery 3323","13","800966689","PEBCOM","Pendiente","Picada","1","Cambio","Sin equipos","Terminal"
"5996","6/4/2025","BACACAY 2205","7","807187775","PEBCOM","Pendiente","Picada","1","Cambio","Sin equipos","Pasante"
"5997","6/4/2025","MARMOL, JOSE 256","5","807187768","Optical Power","Pendiente","Picada coincide con reclamo de cables con mismo numero de caso","1","Cambio","Sin equipos","Pasante"
"807187860 ","6/4/2025","San Juan 3960","5","807187860","Optical Power","Pendiente","Colocar columna contactar a Matias Tapia 1171744701 por si hay alguna duda o problema que surja en el momento ya que es para posterior tendido de ftth","1","Cambio","Sin equipos","Pasante"
"-472","6/5/2025","MOLDES 1995","13","807208296","PEBCOM","Pendiente","Columna 114 picada en base no confundir con Moldes 1983 son dos columnas cercanas para cambiar","1","Cambio","Sin equipos","Pasante"
"6004","6/5/2025","MAZA 181","5","807215439","Optical Power","Pendiente","Picada coincide con reclamo de cables","1","Cambio","Sin equipos","Pasante"
"6007","6/5/2025","HUMAHUACA 4435","5","807215448","Optical Power","Pendiente","Picada coincide con reclamo de cables","1","Cambio","Sin equipos","Pasante"
"6008","6/5/2025","ESTADO DE ISRAEL AV. 4306","5","807215455","Optical Power","Pendiente","Picada","1","Cambio","Sin equipos","Pasante"
"6010","6/5/2025","ESTADO DE PALESTINA 771","5","807215458","Optical Power","Pendiente","Picada y mal ubicada coincide con reclamo de cables","1","Cambio","Sin equipos","Pasante"
"6020","6/5/2025","RAVIGNANI, EMILIO, DR. 2036","14","807215465","NEW","Pendiente","Picada","1","Cambio","Sin equipos","Pasante"
"6075","6/9/2025","ALBERTI 191","3","807458159","PEBCOM","Pendiente","Colocar R400 para traspasar fuente teco","1","Cambio","Sin equipos","Pasante"
"6130","6/9/2025","VALLESE, FELIPE 490","6","807458227","Optical Power","Pendiente","Desmontar columa ya traspasaron un nodo solo falta retirar","1","Desmonte","Sin equipos","Pasante"
"6144","6/11/2025","TURIN 2990","15","807458282","NEW","Pendiente","Picada","1","Cambio","Sin equipos","Pasante"
"6143","6/11/2025","SOLANO LOPEZ, F., MARISCAL 2845","15","807458296","NEW","Pendiente","Picada","1","Cambio","Sin equipos","Pasante"
"6141","6/11/2025","EL PAMPERO 2618","11","807458310","NEW","Pendiente","Picada","1","Cambio","Sin equipos","Pasante"
"6137","6/12/2025","LA PLATA AV. 1058","7","807458383","PEBCOM","Pendiente","Ver con inspector tratar de colocar r400 para sacar las dos columnas terminales existentes evaluar en campo","1","Cambio","Sin equipos","Terminal"
"-478","6/15/2025","Chivilcoy 4875","11","807508509","NEW","Pendiente","Poste podrido","1","Cambio","Sin equipos","Poste"
"6168","6/17/2025","ACUÑA DE FIGUEROA, FRANCISCO 566","5","807537512","Optical Power","Pendiente","Solo retirar columna tlc coloco una nueva y ya traspsaso sus activos","1","Desmonte","Sin equipos","Pasante"
"-480","6/17/2025","Arias 4384","12","807537909","AYKO","Pendiente","Inclinada","1","Cambio","Sin equipos","Pasante"
"6214","6/18/2025","GONZALEZ, JOAQUIN V. 2308","10","807605710","Optical Power","Pendiente","Picada","1","Aplomo","Sin equipos","Terminal"
"-482","6/18/2025","Av. Coronel Diaz 2596","14","807605730","AYKO","Pendiente",,"1","Cambio","Sin equipos","Pasante"
"-483","6/18/2025","Arcos 4326","13","807605744","PEBCOM","Pendiente","Terminal de teco con clientes Se solicita desconectar alarma vecinal en el poste","1","Cambio","Sin equipos","Poste"
"6171","6/18/2025","CABELLO 3486","14","807658640","NEW","Pendiente","Columna inclinada evaluar con inspector un corrimiento","1","Cambio","Sin equipos","Pasante"
"-486","6/23/2025","Del Libertador 4596","14","807762871","AYKO","Pendiente","Picada","1","Cambio","Sin equipos","Pasante"
"-487","6/23/2025","Gorriti 3735","14","807762979","AYKO","Pendiente","NAP FTTH Columna MAL ESTADO ROTA EN BASE","1","Cambio","Sin equipos","Pasante"
"6229","6/24/2025","ALVAREZ THOMAS AV. 309","13","807762987","Optical Power","Pendiente","Reparar rienda ","1","Tensor","Sin equipos","Terminal"
"6228","6/24/2025","NEWBERY, JORGE AV. 3416","13","807762990","Optical Power","Pendiente","Reparar rienda","1","Tensor","Sin equipos","Terminal"
"6223","6/24/2025","ECHEANDIA 4200","9","807762996","AYKO","Pendiente","Columna inclinada con base  corroida","1","Cambio","Sin equipos","Terminal"
"6217","6/24/2025","PEÑA 2079","2","807763000","PEBCOM","Pendiente","Picada","1","Cambio","Sin equipos","Pasante"
"6195","6/24/2025","CATAMARCA 1485","3","807763057","PEBCOM","Pendiente","Picada","1","Cambio","Sin equipos","Pasante"
"6076","6/24/2025","MATHEU 727","3","807763063","Optical Power","Pendiente","Colocar R400 para pedir a base traspaso de nodo propio y posterior a TLC","1","Cambio","Nodo TLC","Pasante"
"6230","6/24/2025","Santa maria de oro	2722","14","807763066","NEW","Pendiente","Picada","1","Cambio","Sin equipos","Pasante"
"6231","6/24/2025","Ciudad de la Paz 275","14","807763070","NEW","Pendiente","Aplomar o cambiar","1","Cambio","Sin equipos","Terminal"
"6235","6/24/2025","HUERGO 389","11","807763078","NEW","Pendiente","Picada","1","Cambio","Sin equipos","Pasante"
"6239","6/24/2025","PALPA 2964","13","807763098","AYKO","Pendiente","Picada","1","Cambio","Sin equipos","Pasante"
"-488","6/24/2025","Blanco Encalada 4896","12","807763099","AYKO","Pendiente","Pendiente traspaso rxo y retiro de columna podrida","1","Cambio","Sin equipos","Poste"
"6249","6/25/2025","GODOY CRUZ 2696","14","807789682","Optical Power","Pendiente","Inclinada posible cambio","1","Cambio","Sin equipos","Pasante"
"6269","6/26/2025","VELEZ SARSFIELD AV. 855","4","807789683","PEBCOM","Pendiente","Columna inclinada","1","Cambio","Sin equipos","Pasante"
"6271","6/26/2025","ARGERICH 740","7","807789686","Optical Power","Pendiente","Picada","1","Cambio","Sin equipos","Pasante"
"-490","6/25/2025","Luzuriaga 1273","4","807789692","PEBCOM","Pendiente","Picada","1","Cambio","Sin equipos","Pasante"
"-491","6/26/2025","3 de Febrero 2171","13","807789702","AYKO","Pendiente","Columna 114 propia picada en base con NAP","1","Cambio","Sin equipos","Pasante"
"-493","6/27/2025","JUFRE 424","15","807817955","Optical Power","Pendiente","Desmontar columna de 168 mm y traspasar redes a columna comunitaria","1","Desmonte","Sin equipos","Pasante"
"6284","6/30/2025","CHILE 2561","3","807851584","Optical Power","Pendiente","Colocar columna para pedir traspaso","1","Cambio","Nodo Teco","Pasante"
"6295","6/30/2025","SOLER 6017","14","807851636","NEW","Pendiente","Picada","1","Cambio","Sin equipos","Pasante"
"6298","7/1/2025","RIVERA INDARTE AV. 1406","7","807877127","Optical Power","Pendiente","Columna en plantera Se recomienda el retiro riesgo de caida","1","Cambio","Sin equipos","Pasante"
"6303","7/1/2025","BILBAO, FRANCISCO 2362","7","807877145","PEBCOM","Pendiente","Falta la foto","1","Cambio","Sin equipos","Pasante"
"6308","7/1/2025","Guayaquil 637","6","807896343","Optical Power","Pendiente","Picada","1","Cambio","Sin equipos","Pasante"
"6330","7/3/2025","REPUBLICA DE LA INDIA 3106","14","807965776","Optical Power","Pendiente","Picada e inclinada","1","Cambio","Sin equipos","Pasante"
"6331","7/3/2025","PARAGUAY 4259","14","807965788","NEW","Pendiente","Picada","1","Cambio","Sin equipos","Pasante"
"6332","7/3/2025","ARAOZ 2560","14","807965818","NEW","Pendiente","Picada","1","Cambio","Sin equipos","Pasante"
"6336","7/3/2025","PARAGUAY 4291","14","807965819","NEW","Pendiente","Picada","1","Cambio","Sin equipos","Pasante"
"6337","7/3/2025","PARAGUAY 4383","14","807965926","NEW","Pendiente","Picada","1","Cambio","Sin equipos","Pasante"
"-501","7/3/2025","Cabello 3107","14","807971967","Optical Power","Pendiente","Aplomar","0","Aplomo","Sin equipos","Terminal"
"6357","7/7/2025","BACACAY 3088","7","808036196","Optical Power","Pendiente","Reparar rienda","1","Tensor","Sin equipos","Terminal"
